name,location,reviews,facilities,price,size,rules,stars,link
Belvedere,"Aisopou 6, Pythagoreio, 83103, Greece",9.4Wonderful 354 reviews,"['Free WiFi', 'Tea/Coffee Maker in All Rooms']","<span class=""bui-u-sr-only"">
Price
€ 220
</span>",,['Pets\n\n\nPets are not allowed.'],2,https://www.booking.com/hotel/gr/belvedere-pythagoreion.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-08-28&checkout=2023-09-01&dest_id=2609&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=916b2e9875500155&srepoch=1685947060&all_sr_blocks=190543906_270478610_3_0_0&highlighted_blocks=190543906_270478610_3_0_0&matching_block_id=190543906_270478610_3_0_0&sr_pri_blocks=190543906_270478610_3_0_0__22000&map_fdco=1&from=searchresults#hotelTmpl
Astir Hotel,"Gianni Ritsou (Agrotiki), Karlovasi, 83200, Greece",8.8Excellent 45 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Free parking', 'Restaurant', 'Free WiFi', 'Family rooms', 'Bar']","<span class=""bui-u-sr-only"">
Price
RUB 16,742
</span>",15 m²,['Pets\n\n\nFree!\nPets are allowed on request. No extra charges.'],1,https://www.booking.com/hotel/gr/astir-hotel.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-08-28&checkout=2023-09-01&dest_id=2609&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=916b2e9875500155&srepoch=1685947060&all_sr_blocks=37246802_205213560_0_0_0&highlighted_blocks=37246802_205213560_0_0_0&matching_block_id=37246802_205213560_0_0_0&sr_pri_blocks=37246802_205213560_0_0_0__19400&map_fdco=1&from=searchresults#hotelTmpl
Klima Paradise,"Klima Beach, Klíma, 83100, Greece",8.4Very Good 116 reviews,"['Free WiFi', 'Non-smoking rooms', 'Free parking', 'Restaurant']","<span class=""bui-u-sr-only"">
Price
€ 520
</span>",30 m²,['Pets\n\n\nPets are not allowed.'],,https://www.booking.com/hotel/gr/klima-paradise-klima.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-08-28&checkout=2023-09-01&dest_id=2609&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=916b2e9875500155&srepoch=1685947060&all_sr_blocks=71224002_333360645_2_1_0&highlighted_blocks=71224002_333360645_2_1_0&matching_block_id=71224002_333360645_2_1_0&sr_pri_blocks=71224002_333360645_2_1_0__52000&map_fdco=1&from=searchresults#hotelTmpl
Aegeon Hotel,"Panepistimiou Aigaiou str., Karlovasi, 83200, Greece",8.3Very Good 132 reviews,"['Outdoor swimming pool', 'Free WiFi', 'Spa', 'Facilities for disabled guests', 'Restaurant', 'Free parking', 'Family rooms', 'Bar', 'Breakfast']","<span class=""bui-u-sr-only"">
Price
€ 226
</span>",18 m²,['Pets\n\n\nFree!\nPets are allowed. No extra charges.'],3,https://www.booking.com/hotel/gr/aegeon-karlovassi-samos.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-08-28&checkout=2023-09-01&dest_id=2609&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=916b2e9875500155&srepoch=1685947060&all_sr_blocks=32833201_169791610_0_1_0&highlighted_blocks=32833201_169791610_0_1_0&matching_block_id=32833201_169791610_0_1_0&sr_pri_blocks=32833201_169791610_0_1_0__22600&map_fdco=1&from=searchresults#hotelTmpl
Naftilos Residences I,"Ποτοκάκι, Potokáki, 83103, Greece",8.4Very Good 24 reviews,"['Free WiFi', 'Beachfront', 'Free parking', 'Private beach area']","<span class=""bui-u-sr-only"">
Price
€ 520
</span>",45 m²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Pets\n\n\nPets are not allowed.']",3,https://www.booking.com/hotel/gr/afros-naftilos-residences.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-08-28&checkout=2023-09-01&dest_id=2609&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=916b2e9875500155&srepoch=1685947060&all_sr_blocks=476923905_329701739_3_0_0&highlighted_blocks=476923905_329701739_3_0_0&matching_block_id=476923905_329701739_3_0_0&sr_pri_blocks=476923905_329701739_3_0_0__52000&map_fdco=1&from=searchresults#hotelTmpl
Kerkis Bay,"Main Street, Marathokampos, 83102, Greece",7.8Good 58 reviews,"['Free WiFi', 'Non-smoking rooms', 'Facilities for disabled guests', 'Family rooms', 'Bar']","<span class=""bui-u-sr-only"">
Price
€ 406
</span>",,['Pets\n\n\nPets are not allowed.'],3,https://www.booking.com/hotel/gr/kerkis-bay.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-08-28&checkout=2023-09-01&dest_id=2609&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=916b2e9875500155&srepoch=1685947060&all_sr_blocks=9608401_344012860_2_41_0&highlighted_blocks=9608401_344012860_2_41_0&matching_block_id=9608401_344012860_2_41_0&sr_pri_blocks=9608401_344012860_2_41_0__40600&map_fdco=1&from=searchresults#hotelTmpl
Naftilos,"Main Street, Pythagoreio, 83103, Greece",8.3Very Good 65 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Free WiFi', 'Free parking', 'Restaurant', 'Room service', 'Bar']","<span class=""bui-u-sr-only"">
Price
2,292 zł
</span>",25 m²,['Pets\n\n\nPets are not allowed.'],3,https://www.booking.com/hotel/gr/naftilos.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-08-28&checkout=2023-09-01&dest_id=2609&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=916b2e9875500155&srepoch=1685947060&all_sr_blocks=19028201_113438441_0_33_0&highlighted_blocks=19028201_113438441_0_33_0&matching_block_id=19028201_113438441_0_33_0&sr_pri_blocks=19028201_113438441_0_33_0__51000&map_fdco=1&from=searchresults#hotelTmpl
Merope Hotel,"Dimarchou Kyriakou, Karlovasi, 83200, Greece",8.6Excellent 87 reviews,"['Outdoor swimming pool', 'Free parking', 'Free WiFi', 'Bar', 'Excellent Breakfast']","<span class=""bui-u-sr-only"">
Price
$210
</span>",215 feet²,['Pets\n\n\nFree!\nPets are allowed on request. No extra charges.'],,https://www.booking.com/hotel/gr/merope.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-08-28&checkout=2023-09-01&dest_id=2609&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=916b2e9875500155&srepoch=1685947060&all_sr_blocks=31652602_226084630_0_2_0&highlighted_blocks=31652602_226084630_0_2_0&matching_block_id=31652602_226084630_0_2_0&sr_pri_blocks=31652602_226084630_0_2_0__20200&map_fdco=1&from=searchresults#hotelTmpl
Lampis Studios,"Unnamed Road, Pythagoreio, 83103, Greece",9.0Wonderful 168 reviews,"['Non-smoking rooms', 'Room service', 'Free WiFi', 'Family rooms', 'Tea/Coffee Maker in All Rooms']","<span class=""bui-u-sr-only"">
Price
$172
</span>",,['Pets\n\n\nPets are not allowed.'],,https://www.booking.com/hotel/gr/studios-lambis-pithagorio.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-08-28&checkout=2023-09-01&dest_id=2609&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=916b2e9875500155&srepoch=1685947060&all_sr_blocks=340668402_203998304_2_0_0&highlighted_blocks=340668402_203998304_2_0_0&matching_block_id=340668402_203998304_2_0_0&sr_pri_blocks=340668402_203998304_2_0_0__16000&map_fdco=1&from=searchresults#hotelTmpl
Polyxeni Hotel,"Pythagoreion, Pythagoreio, 83103, Greece",8.9Excellent 146 reviews,"['Free parking', 'Free WiFi', 'Wonderful Breakfast']","<span class=""bui-u-sr-only"">
Price
CAD 508
</span>",,['Pets\n\n\nFree!\nPets are allowed on request. No extra charges.'],2,https://www.booking.com/hotel/gr/polyxeni-pythagorion.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-08-28&checkout=2023-09-01&dest_id=2609&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=916b2e9875500155&srepoch=1685947060&all_sr_blocks=27875402_196360597_2_1_0&highlighted_blocks=27875402_196360597_2_1_0&matching_block_id=27875402_196360597_2_1_0&sr_pri_blocks=27875402_196360597_2_1_0__35400&map_fdco=1&from=searchresults#hotelTmpl
Amfilissos Hotel,"Balos beach, Koumeika, 83102, Greece",9.6Exceptional 29 reviews,"['Non-smoking rooms', 'Free WiFi', 'Airport shuttle', 'Beachfront', 'Family rooms', 'Bar']","<span class=""bui-u-sr-only"">
Price
₪ 1,206
</span>",20 m²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Pets\n\n\nFree!\nPets are allowed on request. No extra charges.']",2,https://www.booking.com/hotel/gr/amfilissos.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-08-28&checkout=2023-09-01&dest_id=2609&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=21&sr_order=popularity&srpvid=916b2e9875500155&srepoch=1685947060&all_sr_blocks=107325402_85291389_2_1_0&highlighted_blocks=107325402_85291389_2_1_0&matching_block_id=107325402_85291389_2_1_0&sr_pri_blocks=107325402_85291389_2_1_0__30200&map_fdco=1&from=searchresults#hotelTmpl
Erato Seaside Hotel by Samian Mare,"115, KANARI STR, Karlovasi, 83200, Greece",,"['2 swimming pools', 'Non-smoking rooms', 'Airport shuttle', 'Spa', 'Free parking', 'Facilities for disabled guests', 'Restaurant', 'Bar', 'Private beach area', 'Breakfast']","<span class=""bui-u-sr-only"">
Original price
€ 952
Current price
€ 666
</span>",22 m²,['Pets\n\n\nPets are not allowed.'],4,https://www.booking.com/hotel/gr/erato-karlovasi1.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-08-28&checkout=2023-09-01&dest_id=2609&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=22&sr_order=popularity&srpvid=916b2e9875500155&srepoch=1685947060&all_sr_blocks=188477410_355606106_2_1_0&highlighted_blocks=188477410_355606106_2_1_0&matching_block_id=188477410_355606106_2_1_0&sr_pri_blocks=188477410_355606106_2_1_0__67840&from_sustainable_property_sr=1&map_fdco=1&from=searchresults#hotelTmpl
Nafsika Villas,"Main Street, Kerveli, 83100, Greece",9.4Wonderful 92 reviews,"['Airport shuttle', 'Non-smoking rooms', 'Beachfront', 'Room service', 'Free WiFi', 'Free parking', 'Family rooms', 'Bar', 'Private beach area']","<span class=""bui-u-sr-only"">
Price
$ 134,286
</span>",40 m²,"['Parties\n\n\nParties/events are not allowed', 'Quiet hours\n\n\nGuests need be quiet between 3:00 PM and 5:00 PM.', 'Pets\n\n\nPets are not allowed.']",3,https://www.booking.com/hotel/gr/nafsika-villas.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-08-28&checkout=2023-09-01&dest_id=2609&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=23&sr_order=popularity&srpvid=916b2e9875500155&srepoch=1685947060&all_sr_blocks=24801502_266114061_0_0_0&highlighted_blocks=24801502_266114061_0_0_0&matching_block_id=24801502_266114061_0_0_0&sr_pri_blocks=24801502_266114061_0_0_0__52000&map_fdco=1&from=searchresults#hotelTmpl
