name,location,reviews,facilities,price,size,rules,stars,link
Kolymbia Village,"Ethniki Odos Rodou Lindou EO Rodou Lindou, Kolympia 851 03, Kolymbia, 85103, Greece",9.0Wonderful 319 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Free WiFi', 'Free parking', 'Family rooms']","<span class=""bui-u-sr-only"">
Price
$966
</span>",861 feet²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Pets\n\n\nPets are not allowed.']",,https://www.booking.com/hotel/gr/my-village.html?label=gen173bo-1DCAEoggI46AdIMVgDaFyIAQGYATG4ARfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4Ap296KMGwAIB0gIkOGQzN2IxNzMtZTY1ZS00M2RiLThhNDItOTBjNDhhZjA3ODZm2AIE4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-06-26&checkout=2023-06-30&dest_id=1591&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&nflt=class%3D5%3Bclass%3D1%3Bclass%3D2%3Bclass%3D3%3Bclass%3D4&srpvid=a0ff9165d2320078&srepoch=1685738444&all_sr_blocks=301588911_362027300_4_0_0&highlighted_blocks=301588911_362027300_4_0_0&matching_block_id=301588911_362027300_4_0_0&sr_pri_blocks=301588911_362027300_4_0_0__90000&from=searchresults#hotelTmpl
Rhodes Bay Hotel & Spa,"100 Iraklidon Avenue, Ixia, 85101, Greece",8.3Very Good 379 reviews,"['2 swimming pools', 'Spa', 'Fitness center', 'Non-smoking rooms', 'Facilities for disabled guests', 'Free parking', 'Room service', 'Bar', 'Private beach area', 'Very Good Breakfast']","<span class=""bui-u-sr-only"">
Original price
€ 1,079
Current price
€ 1,026
</span>",42 m²,['Pets\n\n\nPets are not allowed.'],5,https://www.booking.com/hotel/gr/amathus-beach-rhodes.html?label=gen173bo-1DCAEoggI46AdIMVgDaFyIAQGYATG4ARfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4Ap296KMGwAIB0gIkOGQzN2IxNzMtZTY1ZS00M2RiLThhNDItOTBjNDhhZjA3ODZm2AIE4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-06-26&checkout=2023-06-30&dest_id=1591&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&nflt=class%3D5%3Bclass%3D1%3Bclass%3D2%3Bclass%3D3%3Bclass%3D4&srpvid=a0ff9165d2320078&srepoch=1685738444&all_sr_blocks=9716830_241891007_2_1_0&highlighted_blocks=9716830_241891007_2_1_0&matching_block_id=9716830_241891007_2_1_0&sr_pri_blocks=9716830_241891007_2_1_0__102585&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
KRESTEN ROYAL Euphoria Resort,"6th km Rhodes -Kalithea Ave., Kallithea Rhodes, 85100, Greece",8.4Very Good 200 reviews,"['2 swimming pools', 'Spa', 'Fitness center', 'Airport shuttle', 'Non-smoking rooms', 'Beachfront', 'Tea/Coffee Maker in All Rooms', 'Bar', 'Private beach area', 'Good Breakfast']","<span class=""bui-u-sr-only"">
Original price
£1,865
Current price
£1,717
</span>",484 feet²,['Pets\n\n\nPets are not allowed.'],5,https://www.booking.com/hotel/gr/the-kresten-royal-villas-spa.html?label=gen173bo-1DCAEoggI46AdIMVgDaFyIAQGYATG4ARfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4Ap296KMGwAIB0gIkOGQzN2IxNzMtZTY1ZS00M2RiLThhNDItOTBjNDhhZjA3ODZm2AIE4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-06-26&checkout=2023-06-30&dest_id=1591&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&nflt=class%3D5%3Bclass%3D1%3Bclass%3D2%3Bclass%3D3%3Bclass%3D4&srpvid=a0ff9165d2320078&srepoch=1685738444&all_sr_blocks=17537106_89029484_2_41_0&highlighted_blocks=17537106_89029484_2_41_0&matching_block_id=17537106_89029484_2_41_0&sr_pri_blocks=17537106_89029484_2_41_0__217600&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Sheraton Rhodes Resort,"Ialyssos Avenue, Ixia, 85100, Greece",8.3Very Good 588 reviews,"['3 swimming pools', 'Spa', 'Non-smoking rooms', 'Fitness center', 'Room service', 'Restaurant', 'Facilities for disabled guests', 'Bar', 'Private beach area', 'Good Breakfast']","<span class=""bui-u-sr-only"">
Price
₱ 70,767
</span>",33 m²,['Pets\n\n\nPets are not allowed.'],5,https://www.booking.com/hotel/gr/sheraton-rhodes-resort.html?label=gen173bo-1DCAEoggI46AdIMVgDaFyIAQGYATG4ARfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4Ap296KMGwAIB0gIkOGQzN2IxNzMtZTY1ZS00M2RiLThhNDItOTBjNDhhZjA3ODZm2AIE4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-06-26&checkout=2023-06-30&dest_id=1591&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&nflt=class%3D5%3Bclass%3D1%3Bclass%3D2%3Bclass%3D3%3Bclass%3D4&srpvid=a0ff9165d2320078&srepoch=1685738444&all_sr_blocks=2161523_95145998_2_41_0&highlighted_blocks=2161523_95145998_2_41_0&matching_block_id=2161523_95145998_2_41_0&sr_pri_blocks=2161523_95145998_2_41_0__118780&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
The Ixian Grand & All Suites - Adults Only Hotel,"Ixia Beach, Ixia, 85101, Greece",8.7Excellent 604 reviews,"['3 swimming pools', 'Spa', 'Non-smoking rooms', 'Fitness center', 'Airport shuttle (free)', 'Beachfront', 'Room service', 'Restaurant', 'Free WiFi', 'Bar']","<span class=""bui-u-sr-only"">
Price
$1,932
</span>",323 feet²,['Pets\n\n\nPets are not allowed.'],,https://www.booking.com/hotel/gr/sentido-ixian-grand.html?label=gen173bo-1DCAEoggI46AdIMVgDaFyIAQGYATG4ARfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4Ap296KMGwAIB0gIkOGQzN2IxNzMtZTY1ZS00M2RiLThhNDItOTBjNDhhZjA3ODZm2AIE4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-06-26&checkout=2023-06-30&dest_id=1591&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&nflt=class%3D5%3Bclass%3D1%3Bclass%3D2%3Bclass%3D3%3Bclass%3D4&srpvid=a0ff9165d2320078&srepoch=1685738444&all_sr_blocks=9697230_362163334_2_85_0&highlighted_blocks=9697230_362163334_2_85_0&matching_block_id=9697230_362163334_2_85_0&sr_pri_blocks=9697230_362163334_2_85_0__181600&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Melenos Art Boutique Hotel,"Main Street, Lindos, 85107, Greece",9.6Exceptional 131 reviews,"['Non-smoking rooms', 'Airport shuttle', 'Room service', 'Free parking', 'Free WiFi', 'Restaurant', 'Family rooms', 'Tea/Coffee Maker in All Rooms', 'Bar', 'Exceptional Breakfast']","<span class=""bui-u-sr-only"">
Price
5,157 zł
</span>",35 m²,['Pets\n\n\nPets are not allowed.'],5,https://www.booking.com/hotel/gr/melenos-lindos-exclusive-suites.html?label=gen173bo-1DCAEoggI46AdIMVgDaFyIAQGYATG4ARfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4Ap296KMGwAIB0gIkOGQzN2IxNzMtZTY1ZS00M2RiLThhNDItOTBjNDhhZjA3ODZm2AIE4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-06-26&checkout=2023-06-30&dest_id=1591&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&nflt=class%3D5%3Bclass%3D1%3Bclass%3D2%3Bclass%3D3%3Bclass%3D4&srpvid=a0ff9165d2320078&srepoch=1685738444&all_sr_blocks=9685501_88569337_0_1_0&highlighted_blocks=9685501_88569337_0_1_0&matching_block_id=9685501_88569337_0_1_0&sr_pri_blocks=9685501_88569337_0_1_0__114000&from=searchresults#hotelTmpl
Atrium Prestige Thalasso Spa Resort & Villas,"Main Street, Lachania, 85109, Greece",9.6Exceptional 137 reviews,"['2 swimming pools', 'Spa', 'Fitness center', 'Non-smoking rooms', 'Beachfront', 'Facilities for disabled guests', 'Restaurant', 'Tea/Coffee Maker in All Rooms', 'Bar', 'Private beach area']","<span class=""bui-u-sr-only"">
Price
€ 1,466
</span>",56 m²,['Pets\n\n\nPets are not allowed.'],5,https://www.booking.com/hotel/gr/atrium-prestige-thalasso-spa-resort-villas.html?label=gen173bo-1DCAEoggI46AdIMVgDaFyIAQGYATG4ARfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4Ap296KMGwAIB0gIkOGQzN2IxNzMtZTY1ZS00M2RiLThhNDItOTBjNDhhZjA3ODZm2AIE4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-06-26&checkout=2023-06-30&dest_id=1591&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&nflt=class%3D5%3Bclass%3D1%3Bclass%3D2%3Bclass%3D3%3Bclass%3D4&srpvid=a0ff9165d2320078&srepoch=1685738444&all_sr_blocks=0_0_2_1_0&highlighted_blocks=0_0_2_1_0&matching_block_id=0_0_2_1_0&sr_pri_blocks=0_0_2_1_0__146576&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Atlantica Holiday Village Rhodes,"Kolymbia, Kolymbia, 85103, Greece",8.7Excellent 57 reviews,"['4 swimming pools', 'Spa', 'Non-smoking rooms', 'Fitness center', 'Restaurant', 'Free WiFi', 'Free parking', 'Family rooms', 'Bar']","<span class=""bui-u-sr-only"">
Original price
$3,554
Current price
$3,021
</span>",420 feet²,['Pets\n\n\nPets are not allowed.'],,https://www.booking.com/hotel/gr/atlantica-holiday-village-rhodes.html?label=gen173bo-1DCAEoggI46AdIMVgDaFyIAQGYATG4ARfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4Ap296KMGwAIB0gIkOGQzN2IxNzMtZTY1ZS00M2RiLThhNDItOTBjNDhhZjA3ODZm2AIE4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-06-26&checkout=2023-06-30&dest_id=1591&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&nflt=class%3D5%3Bclass%3D1%3Bclass%3D2%3Bclass%3D3%3Bclass%3D4&srpvid=a0ff9165d2320078&srepoch=1685738444&all_sr_blocks=674352206_344105612_2_85_0&highlighted_blocks=674352206_344105612_2_85_0&matching_block_id=674352206_344105612_2_85_0&sr_pri_blocks=674352206_344105612_2_85_0__283120&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Princess Andriana Resort & Spa - Ultra All-Inclusive,"Kiotari, Kiotari, 85109, Greece",8.7Excellent 402 reviews,"['3 swimming pools', 'Spa', 'Free parking', 'Fitness center', 'Non-smoking rooms', 'Room service', 'Restaurant', 'Tea/Coffee Maker in All Rooms', 'Bar', 'Private beach area']","<span class=""bui-u-sr-only"">
Original price
₹ 169,099
Current price
₹ 146,237
</span>",41 m²,['Pets\n\n\nPets are not allowed.'],5,https://www.booking.com/hotel/gr/princess-andriana-resort.html?label=gen173bo-1DCAEoggI46AdIMVgDaFyIAQGYATG4ARfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4Ap296KMGwAIB0gIkOGQzN2IxNzMtZTY1ZS00M2RiLThhNDItOTBjNDhhZjA3ODZm2AIE4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-06-26&checkout=2023-06-30&dest_id=1591&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&nflt=class%3D5%3Bclass%3D1%3Bclass%3D2%3Bclass%3D3%3Bclass%3D4&srpvid=a0ff9165d2320078&srepoch=1685738444&all_sr_blocks=35359105_371460538_0_85_0&highlighted_blocks=35359105_371460538_0_85_0&matching_block_id=35359105_371460538_0_85_0&sr_pri_blocks=35359105_371460538_0_85_0__181328&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Mitsis Rodos Village Beach Hotel & Spa,"Kiotari, Kiotari, 85109, Greece",8.1Very Good 270 reviews,"['5 swimming pools', 'Spa', 'Non-smoking rooms', 'Fitness center', 'Beachfront', 'Room service', 'Free parking', 'Restaurant', 'Tea/Coffee Maker in All Rooms', 'Bar']","<span class=""bui-u-sr-only"">
Price
US$1,406
</span>",32 m²,['Pets\n\n\nPets are not allowed.'],5,https://www.booking.com/hotel/gr/mitsis-rhodos-village.html?label=gen173bo-1DCAEoggI46AdIMVgDaFyIAQGYATG4ARfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4Ap296KMGwAIB0gIkOGQzN2IxNzMtZTY1ZS00M2RiLThhNDItOTBjNDhhZjA3ODZm2AIE4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-06-26&checkout=2023-06-30&dest_id=1591&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&nflt=class%3D5%3Bclass%3D1%3Bclass%3D2%3Bclass%3D3%3Bclass%3D4&srpvid=a0ff9165d2320078&srepoch=1685738444&all_sr_blocks=33979712_88569711_2_85_0&highlighted_blocks=33979712_88569711_2_85_0&matching_block_id=33979712_88569711_2_85_0&sr_pri_blocks=33979712_88569711_2_85_0__144160&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
