name,location,reviews,facilities,price,size,rules,stars,link
Sivylla Apartments,"7 Κύπρου, Lefkada, 31100, Greece",9.5Exceptional 17 reviews,"['Free WiFi', 'Non-smoking rooms', 'Family rooms']","<span class=""bui-u-sr-only"">
Price
€ 450
</span>",46 m²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Quiet hours\n\n\nGuests need be quiet between 3:00 PM and 6:00 PM.', 'Pets\n\n\nPets are not allowed.']",3,https://www.booking.com/hotel/gr/sivylla-apartments.html?label=gen173bo-1DCAEoggI46AdIMVgDaFyIAQGYATG4ARfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4Ap296KMGwAIB0gIkOGQzN2IxNzMtZTY1ZS00M2RiLThhNDItOTBjNDhhZjA3ODZm2AIE4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-06-26&checkout=2023-06-30&dest_id=2805&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=387&sr_order=popularity&srpvid=c82431b7593d038b&srepoch=1685775855&all_sr_blocks=731902902_334285336_2_0_0&highlighted_blocks=731902902_334285336_2_0_0&matching_block_id=731902902_334285336_2_0_0&sr_pri_blocks=731902902_334285336_2_0_0__45000&from=searchresults#hotelTmpl
Okeanos Luxury Villas - Resort,"Athani Village, Athani, 31082, Greece",9.8Exceptional 43 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Free parking', 'Free WiFi', 'Beachfront', 'Family rooms']","<span class=""bui-u-sr-only"">
Price
$3,303
</span>",1496 feet²,"['Smoking\n\nSmoking is not allowed.', 'Pets\n\n\nFree!\nPets are allowed on request. No extra charges.']",,https://www.booking.com/hotel/gr/okeanos-luxury-villas.html?label=gen173bo-1DCAEoggI46AdIMVgDaFyIAQGYATG4ARfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4Ap296KMGwAIB0gIkOGQzN2IxNzMtZTY1ZS00M2RiLThhNDItOTBjNDhhZjA3ODZm2AIE4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-06-26&checkout=2023-06-30&dest_id=2805&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=388&sr_order=popularity&srpvid=c82431b7593d038b&srepoch=1685775855&all_sr_blocks=148946408_347208830_2_0_0&highlighted_blocks=148946408_347208830_2_0_0&matching_block_id=148946408_347208830_2_0_0&sr_pri_blocks=148946408_347208830_2_0_0__308000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
metaxas house,"POROS 31084 LEFKADA, Mikros Gialos, 31084, Greece",10Exceptional 6 reviews,"['Free parking', 'Airport shuttle', 'Free WiFi']","<span class=""bui-u-sr-only"">
Original price
$766
Current price
$720
</span>",1615 feet²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Quiet hours\n\n\nGuests need be quiet between 2:00 PM and 5:00 PM.', 'Pets\n\n\nPets are allowed. Charges may apply.']",,https://www.booking.com/hotel/gr/metaxas.html?label=gen173bo-1DCAEoggI46AdIMVgDaFyIAQGYATG4ARfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4Ap296KMGwAIB0gIkOGQzN2IxNzMtZTY1ZS00M2RiLThhNDItOTBjNDhhZjA3ODZm2AIE4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-06-26&checkout=2023-06-30&dest_id=2805&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=389&sr_order=popularity&srpvid=c82431b7593d038b&srepoch=1685775855&all_sr_blocks=853632001_372499713_6_0_0&highlighted_blocks=853632001_372499713_6_0_0&matching_block_id=853632001_372499713_6_0_0&sr_pri_blocks=853632001_372499713_6_0_0__67154&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Studios Niki B,"Agia Marina, Lefkadas, Lefkada, 31100, Greece",9.5Exceptional 12 reviews,"['Non-smoking rooms', 'Free parking', 'Free WiFi', 'Family rooms']","<span class=""bui-u-sr-only"">
Price
$279
</span>",431 feet²,['Pets\n\n\nPets are not allowed.'],,https://www.booking.com/hotel/gr/studiosniki-b.html?label=gen173bo-1DCAEoggI46AdIMVgDaFyIAQGYATG4ARfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4Ap296KMGwAIB0gIkOGQzN2IxNzMtZTY1ZS00M2RiLThhNDItOTBjNDhhZjA3ODZm2AIE4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-06-26&checkout=2023-06-30&dest_id=2805&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=390&sr_order=popularity&srpvid=c82431b7593d038b&srepoch=1685775855&all_sr_blocks=105525801_350329319_3_0_0&highlighted_blocks=105525801_350329319_3_0_0&matching_block_id=105525801_350329319_3_0_0&sr_pri_blocks=105525801_350329319_3_0_0__26000&from=searchresults#hotelTmpl
zafiri house,"Kavalos Sfakiotes, Kávallos, 31080, Greece",9.2Wonderful 6 reviews,"['Non-smoking rooms', 'Free parking', 'Free WiFi', 'Family rooms']","<span class=""bui-u-sr-only"">
Price
RUB 41,855
</span>",,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Quiet hours\n\n\nGuests need be quiet between 11:00 PM and 7:00 AM.', 'Pets\n\n\nPets are not allowed.']",,https://www.booking.com/hotel/gr/zafiri-house.html?label=gen173bo-1DCAEoggI46AdIMVgDaFyIAQGYATG4ARfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4Ap296KMGwAIB0gIkOGQzN2IxNzMtZTY1ZS00M2RiLThhNDItOTBjNDhhZjA3ODZm2AIE4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-06-26&checkout=2023-06-30&dest_id=2805&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=391&sr_order=popularity&srpvid=c82431b7593d038b&srepoch=1685775855&all_sr_blocks=664442501_311120809_5_0_0&highlighted_blocks=664442501_311120809_5_0_0&matching_block_id=664442501_311120809_5_0_0&sr_pri_blocks=664442501_311120809_5_0_0__48000&from=searchresults#hotelTmpl
Locanda Villas,"Επαρχιακή Οδός Λευκάδας - Κάτω Εξανθείας, Lefkada, 31100, Greece",,"['Outdoor swimming pool', 'Free parking', 'Airport shuttle', 'Free WiFi', 'Family rooms']","<span class=""bui-u-sr-only"">
Price
$937
</span>",861 feet²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Pets\n\n\nPets are not allowed.']",,https://www.booking.com/hotel/gr/locanda-villas.html?label=gen173bo-1DCAEoggI46AdIMVgDaFyIAQGYATG4ARfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4Ap296KMGwAIB0gIkOGQzN2IxNzMtZTY1ZS00M2RiLThhNDItOTBjNDhhZjA3ODZm2AIE4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-06-26&checkout=2023-06-30&dest_id=2805&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=392&sr_order=popularity&srpvid=c82431b7593d038b&srepoch=1685775855&all_sr_blocks=882741503_357596863_4_0_0&highlighted_blocks=882741503_357596863_4_0_0&matching_block_id=882741503_357596863_4_0_0&sr_pri_blocks=882741503_357596863_4_0_0__87400&from=searchresults#hotelTmpl
San Pedro,"Agios Petros-Lefkada, Vasiliki, 31082, Greece",8.0Very Good 1 review,"['Free parking', 'Non-smoking rooms', 'Free WiFi', 'Family rooms']","<span class=""bui-u-sr-only"">
Original price
US$176
Current price
US$158
</span>",18 m²,"['Parties\n\n\nParties/events are not allowed', 'Quiet hours\n\n\nGuests need be quiet between 11:00 PM and 8:00 AM.', 'Pets\n\n\nPets are not allowed.']",3,https://www.booking.com/hotel/gr/san-pedro-lefkada.html?label=gen173bo-1DCAEoggI46AdIMVgDaFyIAQGYATG4ARfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4Ap296KMGwAIB0gIkOGQzN2IxNzMtZTY1ZS00M2RiLThhNDItOTBjNDhhZjA3ODZm2AIE4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-06-26&checkout=2023-06-30&dest_id=2805&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=393&sr_order=popularity&srpvid=c82431b7593d038b&srepoch=1685775855&all_sr_blocks=39121806_88563356_0_0_0&highlighted_blocks=39121806_88563356_0_0_0&matching_block_id=39121806_88563356_0_0_0&sr_pri_blocks=39121806_88563356_0_0_0__14760&from=searchresults#hotelTmpl
ALMOND TREES,"Πλατύστομα, Platístoma, 31080, Greece",9.0Wonderful 3 reviews,"['Free parking', 'Non-smoking rooms', 'Free WiFi', 'Airport shuttle']","<span class=""bui-u-sr-only"">
Price
DOP 25,800
</span>",100 m²,"['Smoking\n\nSmoking is not allowed.', 'Pets\n\n\nPets are allowed. Charges may apply.']",,https://www.booking.com/hotel/gr/almond-trees.html?label=gen173bo-1DCAEoggI46AdIMVgDaFyIAQGYATG4ARfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4Ap296KMGwAIB0gIkOGQzN2IxNzMtZTY1ZS00M2RiLThhNDItOTBjNDhhZjA3ODZm2AIE4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-06-26&checkout=2023-06-30&dest_id=2805&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=394&sr_order=popularity&srpvid=c82431b7593d038b&srepoch=1685775855&all_sr_blocks=737134501_330697523_4_0_0&highlighted_blocks=737134501_330697523_4_0_0&matching_block_id=737134501_330697523_4_0_0&sr_pri_blocks=737134501_330697523_4_0_0__44000&from=searchresults#hotelTmpl
Lagkada Suites,"Ανώνυμος καρυα, Kariá, 31080, Greece",9.6Exceptional 19 reviews,"['Non-smoking rooms', 'Free parking', 'Room service', 'Free WiFi', 'Family rooms']","<span class=""bui-u-sr-only"">
Price
€ 320
</span>",45 m²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Pets\n\n\nPets are not allowed.']",3,https://www.booking.com/hotel/gr/lagkada-suites.html?label=gen173bo-1DCAEoggI46AdIMVgDaFyIAQGYATG4ARfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4Ap296KMGwAIB0gIkOGQzN2IxNzMtZTY1ZS00M2RiLThhNDItOTBjNDhhZjA3ODZm2AIE4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-06-26&checkout=2023-06-30&dest_id=2805&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=395&sr_order=popularity&srpvid=c82431b7593d038b&srepoch=1685775855&all_sr_blocks=390658504_331056283_3_0_0&highlighted_blocks=390658504_331056283_3_0_0&matching_block_id=390658504_331056283_3_0_0&sr_pri_blocks=390658504_331056283_3_0_0__32000&from=searchresults#hotelTmpl
Nikoleta Apartment A,"Epar.Od. Nikianas - Alexandrou 104, Nikiana, 31100, Greece",,"['Non-smoking rooms', 'Free parking', 'Facilities for disabled guests', 'Free WiFi', 'Beachfront']","<span class=""bui-u-sr-only"">
Price
MXN 7,409
</span>",45 m²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Pets\n\n\nPets are not allowed.']",4,https://www.booking.com/hotel/gr/nikoleta-apartment-a.html?label=gen173bo-1DCAEoggI46AdIMVgDaFyIAQGYATG4ARfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4Ap296KMGwAIB0gIkOGQzN2IxNzMtZTY1ZS00M2RiLThhNDItOTBjNDhhZjA3ODZm2AIE4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-06-26&checkout=2023-06-30&dest_id=2805&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=396&sr_order=popularity&srpvid=c82431b7593d038b&srepoch=1685775855&all_sr_blocks=917081002_363235054_4_0_0&highlighted_blocks=917081002_363235054_4_0_0&matching_block_id=917081002_363235054_4_0_0&sr_pri_blocks=917081002_363235054_4_0_0__39513&from=searchresults#hotelTmpl
