name,location,reviews,facilities,price,size,rules,stars
Ammos Luxury Studios,"Κέντρο, Aliki, 84400, Greece",9.2Wonderful 159 reviews,"['Family rooms', 'Non-smoking rooms', 'Free WiFi']",,,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Quiet hours\n\n\nGuests need be quiet between 2:00 PM and 6:00 PM.', 'Pets\n\n\nPets are not allowed.']",3
Aphrodite Boutique Hotel,"Aliki, Aliki, 84400, Greece",9.5Exceptional 153 reviews,"['Outdoor swimming pool', 'Family rooms', 'Free parking', 'Spa', 'Airport shuttle', 'Fitness center', 'Facilities for disabled guests', 'Tea/Coffee Maker in All Rooms', 'Bar', 'Exceptional Breakfast']",,,['Pets\n\n\nPets are not allowed.'],3
Ostria Studios & Apartments,"Aliki, Aliki, 84400, Greece",8.8Excellent 174 reviews,"['Family rooms', 'Non-smoking rooms', 'Free WiFi', 'Facilities for disabled guests', 'Beachfront', 'Bar']",,,"['Smoking\n\nSmoking is not allowed.', 'Pets\n\n\nPets are allowed on request. Charges may apply.']",
Magoo Suites,"Λογαρας, Παρος, Logaras, 84400, Greece",8.6Excellent 88 reviews,"['Free WiFi', 'Non-smoking rooms', 'Beachfront', 'Free parking', 'Family rooms', 'Tea/Coffee Maker in All Rooms']",,,['Pets\n\n\nPets are not allowed.'],
Cleopatra Seaside Homes,"Logaras, Piso Livadi, 84400, Greece",8.8Excellent 163 reviews,"['Airport shuttle', 'Free WiFi', 'Free parking', 'Beachfront', 'Family rooms', 'Non-smoking rooms', 'Wonderful Breakfast']",,,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Quiet hours\n\n\nGuests need be quiet between 11:00 PM and 8:00 AM.', 'Pets\n\n\nPets are allowed. Charges may apply.']",4
Paliomylos Spa Hotel,"Naousa, Naousa, 84401, Greece",9.4Wonderful 292 reviews,"['Outdoor swimming pool', 'Free WiFi', 'Airport shuttle', 'Free parking', 'Beachfront', 'Spa', 'Non-smoking rooms', 'Room service', 'Bar', 'Exceptional Breakfast']",,,"['Smoking\n\nSmoking is not allowed.', 'Pets\n\n\nPets are not allowed.']",4
Summer Senses Luxury Resort,"Punda Beach Marpissa, Logaras, 84400, Greece",9.2Wonderful 329 reviews,"['3 swimming pools', 'Non-smoking rooms', 'Free parking', 'Airport shuttle', 'Fitness center', 'Spa', 'Room service', 'Tea/Coffee Maker in All Rooms', 'Bar', 'Exceptional Breakfast']","<span class=""bui-u-sr-only"">
Price
$3,888
</span>",269 feet²,['Pets\n\n\nPets are not allowed.'],
Ragoussis House,"Logaras Beach, Logaras, 84400, Greece",9.0Wonderful 113 reviews,"['Non-smoking rooms', 'Free parking', 'Beachfront', 'Free WiFi', 'Family rooms']","<span class=""bui-u-sr-only"">
Price
$965
</span>",194 feet²,"['Parties\n\n\nParties/events are not allowed', 'Quiet hours\n\n\nGuests need be quiet between 3:00 PM and 6:00 PM.', 'Pets\n\n\nFree!\nPets are allowed on request. No extra charges.']",
Saint George Hotel,"Nea Chrissi Akti Beach, Chrissi Akti, 84400, Greece",8.9Excellent 212 reviews,"['Outdoor swimming pool', 'Beachfront', 'Non-smoking rooms', 'Facilities for disabled guests', 'Restaurant', 'Free parking', 'Room service', 'Free WiFi', 'Bar', 'Excellent Breakfast']","<span class=""bui-u-sr-only"">
Price
£2,076
</span>",269 feet²,['Pets\n\n\nPets are not allowed.'],4
Kanale's Rooms & Suites,"Piperi, Naousa, 84401, Greece",8.9Excellent 290 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Free parking', 'Airport shuttle', 'Room service', 'Facilities for disabled guests', 'Restaurant', 'Tea/Coffee Maker in All Rooms', 'Bar', 'Exceptional Breakfast']","<span class=""bui-u-sr-only"">
Price
$4,183
</span>",258 feet²,['Pets\n\n\nPets are allowed on request. Charges may apply.'],
