name,location,reviews,facilities,price,size,rules,stars
NUMO Ierapetra Beach Resort,"Peristeras Koudounata, Ierapetra, 72200, Greece",8.3Very Good 231 reviews,"['2 swimming pools', 'Non-smoking rooms', 'Free parking', 'Spa', 'Room service', 'Fitness center', 'Restaurant', 'Tea/Coffee Maker in All Rooms', 'Bar', 'Good Breakfast']","<span class=""bui-u-sr-only"">
Price
¥243,562
</span>",23 m²,['Pets\n\n\nPets are not allowed.'],5
Lyttos Mare,"Anissaras, Anissaras, Hersonissos, 70014, Greece",9.2Wonderful 590 reviews,"['5 swimming pools', 'Spa', 'Non-smoking rooms', 'Fitness center', 'Room service', 'Free parking', 'Tea/Coffee Maker in All Rooms', 'Bar', 'Private beach area', 'Exceptional Breakfast']","<span class=""bui-u-sr-only"">
Original price
€ 4,584
Current price
€ 4,219
</span>",36 m²,['Pets\n\n\nPets are not allowed.'],5
AKASHA Beach Hotel & Spa,"Eleftheriou Venizelou 183, Limenas Hersonissou, Hersonissos, 70014, Greece",8.9Excellent 716 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Spa', 'Fitness center', 'Airport shuttle', 'Room service', 'Private Parking', 'Beachfront', 'Free WiFi', 'Bar']","<span class=""bui-u-sr-only"">
Price
PEN 6,268
</span>",30 m²,['Pets\n\n\nPets are not allowed.'],5
Filion Suites Resort & Spa,"Main Street, Bali, 74057, Greece",8.4Very Good 828 reviews,"['3 swimming pools', 'Free WiFi', 'Spa', 'Fitness center', 'Free parking', 'Room service', 'Restaurant', 'Family rooms', 'Bar', 'Private beach area']","<span class=""bui-u-sr-only"">
Price
€ 1,094
</span>",35 m²,['Pets\n\n\nPets are not allowed.'],5
Myrion Beach Resort & Spa,"Pirgos Psilonerou beach area, Gerani, 73014, Greece",8.6Excellent 274 reviews,"['2 swimming pools', 'Non-smoking rooms', 'Free WiFi', 'Fitness center', 'Facilities for disabled guests', 'Room service', 'Free parking', 'Beachfront', 'Bar', 'Good Breakfast']","<span class=""bui-u-sr-only"">
Price
10,980 zł
</span>",30 m²,['Pets\n\n\nPets are not allowed.'],5
Fodele Beach Water Park Resort,"Fodele, Fodele, 71500, Greece",8.8Excellent 421 reviews,"['2 swimming pools', 'Spa', 'Fitness center', 'Non-smoking rooms', 'Beachfront', 'Restaurant', 'Tea/Coffee Maker in All Rooms', 'Bar', 'Private beach area', 'Wonderful Breakfast']","<span class=""bui-u-sr-only"">
Original price
€ 3,234
Current price
€ 2,977
</span>",30 m²,['Pets\n\n\nPets are not allowed.'],5
"Domes Zeen Chania, a Luxury Collection Resort, Crete","Apteron Street, Kato Daratso, Kato Daratso, 73100, Greece",9.2Wonderful 276 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Free parking', 'Facilities for disabled guests', 'Room service', 'Restaurant', 'Beachfront', 'Bar', 'Private beach area', 'Wonderful Breakfast']","<span class=""bui-u-sr-only"">
Price
₪ 18,508
</span>",30 m²,['Pets\n\n\nPets are not allowed.'],5
Amira Luxury Resort & Spa - Adults Only,"Adelianos Kampos, Adelianos Kampos, 74150, Greece",9.4Wonderful 212 reviews,"['Indoor swimming pool', 'Non-smoking rooms', 'Airport shuttle', 'Spa', 'Fitness center', 'Room service', 'Tea/Coffee Maker in All Rooms', 'Bar', 'Beachfront', 'Excellent Breakfast']","<span class=""bui-u-sr-only"">
Price
CAD 8,371
</span>",55 m²,['Pets\n\n\nPets are not allowed.'],5
"Domes Aulus Elounda Adults Only, Curio Collection by Hilton","Main Street, Elounda, 72053, Greece",8.5Very Good 220 reviews,"['Outdoor swimming pool', 'Spa', 'Fitness center', 'Non-smoking rooms', 'Airport shuttle', 'Room service', 'Restaurant', 'Tea/Coffee Maker in All Rooms', 'Bar', 'Private beach area']","<span class=""bui-u-sr-only"">
Price
SAR 8,182
</span>",21 m²,['Pets\n\n\nPets are allowed on request. Charges may apply.'],5
"Radisson Blu Beach Resort, Milatos Crete","Milatos, Milatos, 72400, Greece","8.1Very Good 1,231 reviews","['7 swimming pools', 'Non-smoking rooms', 'Airport shuttle', 'Spa', 'Fitness center', 'Room service', 'Beachfront', 'Free parking', 'Bar', 'Private beach area']","<span class=""bui-u-sr-only"">
Price
$4,622
</span>",366 feet²,['Pets\n\n\nPets are not allowed.'],
