name,location,reviews,facilities,price,size,rules,stars
Amalia Apartments,"Bali, Bali, 74057, Greece",8.9Excellent 289 reviews,"['2 swimming pools', 'Free WiFi', 'Non-smoking rooms', 'Airport shuttle', 'Restaurant', 'Free parking', 'Family rooms', 'Bar', 'Very Good Breakfast']","<span class=""bui-u-sr-only"">
Price
€ 830
</span>",29 m²,['Pets\n\n\nPets are not allowed.'],3
Gorgona Hotel,"Bali 740 57, Bali, 74057, Greece",8.6Excellent 370 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Free WiFi', 'Free parking', 'Beachfront', 'Restaurant', 'Family rooms', 'Good Breakfast']","<span class=""bui-u-sr-only"">
Original price
€ 1,010
Current price
€ 746
</span>",18 m²,['Pets\n\n\nPets are not allowed.'],3
Elektra Beach Hotel,"Kalamaki, Kalamaki, 73100, Greece",9.0Wonderful 621 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Airport shuttle', 'Free WiFi', 'Room service', 'Free parking', 'Beachfront', 'Family rooms', 'Bar']","<span class=""bui-u-sr-only"">
Original price
€ 1,284
Current price
€ 1,029
</span>",43 m²,['Pets\n\n\nPets are not allowed.'],3
Melitti Hotel,"12 Sgourafogianni Str. (Perivolia), Rethymno, 74100, Greece",8.7Excellent 398 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Private Parking', 'Free WiFi', 'Family rooms', 'Good Breakfast']","<span class=""bui-u-sr-only"">
Original price
CAD 1,601
Current price
CAD 1,265
</span>",28 m²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Quiet hours\n\n\nGuests need be quiet between 10:00 PM and 8:00 AM.', 'Pets\n\n\nPets are allowed on request. Charges may apply.']",3
Dedalos Beach Hotel,"Sfakaki, Sfakaki, 74100, Greece",8.3Very Good 52 reviews,"['Outdoor swimming pool', 'Airport shuttle', 'Free WiFi', 'Fitness center', 'Room service', 'Restaurant', 'Free parking', 'Tea/Coffee Maker in All Rooms', 'Bar', 'Breakfast']","<span class=""bui-u-sr-only"">
Original price
€ 909
Current price
€ 882
</span>",32 m²,['Pets\n\n\nPets are not allowed.'],3
Cost Mari Almyrida New by ZAGO Boutiqe hotels,"Almirída, Almyrida, 73008, Greece",9.0Wonderful 62 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Free parking', 'Free WiFi', 'Family rooms']","<span class=""bui-u-sr-only"">
Original price
$1,062
Current price
$849
</span>",215 feet²,['Pets\n\n\nPets are not allowed.'],
Kallitsakis Beach,"Palea Ethniki Odos Kissamou Chanion, Platanias, 73014, Greece",9.0Wonderful 103 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Airport shuttle', 'Facilities for disabled guests', 'Room service', 'Free parking', 'Beachfront', 'Free WiFi', 'Family rooms', 'Breakfast']","<span class=""bui-u-sr-only"">
Original price
£1,152
Current price
£1,060
</span>",431 feet²,"['Smoking\n\nSmoking is not allowed.', 'Pets\n\n\nPets are not allowed.']",3
Lena Beach Hotel,"Kalathas, Kalathas, 73100, Greece",8.9Excellent 380 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Free parking', 'Airport shuttle', 'Restaurant', 'Beachfront', 'Free WiFi', 'Tea/Coffee Maker in All Rooms', 'Bar', 'Very Good Breakfast']","<span class=""bui-u-sr-only"">
Price
$991
</span>",215 feet²,['Pets\n\n\nPets are not allowed.'],
Archipelagos Hotel,"Odissea Eliti 2, Rethymno, 74100, Greece",9.4Wonderful 640 reviews,"['2 swimming pools', 'Free parking', 'Non-smoking rooms', 'Room service', 'Restaurant', 'Airport shuttle', 'Beachfront', 'Free WiFi', 'Bar', 'Very Good Breakfast']","<span class=""bui-u-sr-only"">
Price
₹ 71,510
</span>",22 m²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Pets\n\n\nPets are not allowed.']",3
Selena Village Hotel Elounda,"Main Street, Elounda, 72053, Greece",7.9Good 131 reviews,"['2 swimming pools', 'Non-smoking rooms', 'Airport shuttle', 'Free parking', 'Restaurant', 'Free WiFi', 'Tea/Coffee Maker in All Rooms', 'Bar', 'Private beach area', 'Breakfast']","<span class=""bui-u-sr-only"">
Original price
$1,047
Current price
$943
</span>",323 feet²,['Pets\n\n\nPets are not allowed.'],
