name,location,reviews,facilities,price,size,rules,stars
Camara Hotel,"Main Street, Agios Prokopios, 84302, Greece",8.7Excellent 132 reviews,"['Free WiFi', 'Non-smoking rooms', 'Free parking', 'Room service', 'Family rooms', 'Tea/Coffee Maker in All Rooms', 'Bar', 'Wonderful Breakfast']","<span class=""bui-u-sr-only"">
Original price
€ 849
Current price
€ 782
</span>",20 m²,['Pets\n\n\nPets are not allowed.'],2
Nastasia Village,"Main Street, Naxos Chora, 84300, Greece",9.2Wonderful 242 reviews,"['Free WiFi', 'Airport shuttle', 'Non-smoking rooms', 'Facilities for disabled guests', 'Room service', 'Bar']","<span class=""bui-u-sr-only"">
Original price
€ 1,378
Current price
€ 1,268
</span>",18 m²,"['Smoking\n\nSmoking is not allowed.', 'Pets\n\n\nFree!\nPets are allowed. No extra charges.']",2
Depis castle Renata luxury apartments,"Χώρα Νάξου, Naxos Chora, 84300, Greece",8.6Excellent 204 reviews,"['Non-smoking rooms', 'Free WiFi', 'Family rooms']","<span class=""bui-u-sr-only"">
Price
€ 1,251
</span>",26 m²,"['Parties\n\n\nParties/events are not allowed', 'Pets\n\n\nPets are not allowed.']",3
Alkyoni Beach Hotel,"Agios Georgios, Naxos Chora, 84300, Greece",8.6Excellent 246 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Free parking', 'Restaurant', 'Beachfront', 'Free WiFi', 'Family rooms', 'Bar', 'Very Good Breakfast']","<span class=""bui-u-sr-only"">
Price
$1,940
</span>",269 feet²,['Pets\n\n\nFree!\nPets are allowed on request. No extra charges.'],
Villa veranda,"Πλακα, Plaka, 84300, Greece",8.6Excellent 49 reviews,"['Non-smoking rooms', 'Free parking', 'Beachfront', 'Free WiFi']","<span class=""bui-u-sr-only"">
Original price
£1,522
Current price
£1,401
</span>",248 feet²,['Pets\n\n\nPets are not allowed.'],3
Naxos Village hotel,"Χώρα Νάξου, Naxos Chora, 84300, Greece",9.5Exceptional 91 reviews,"['Non-smoking rooms', 'Free parking', 'Free WiFi', 'Family rooms', 'Breakfast']","<span class=""bui-u-sr-only"">
Price
$1,394
</span>",291 feet²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Pets\n\n\nFree!\nPets are allowed. No extra charges.']",
Anna Studios,"agios prokopios naxos, Agios Prokopios, 84300, Greece",9.3Wonderful 97 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Free parking', 'Airport shuttle', 'Room service', 'Free WiFi', 'Family rooms', 'Breakfast']","<span class=""bui-u-sr-only"">
Price
$901
</span>",215 feet²,['Pets\n\n\nPets are not allowed.'],
Dimitra Hotel,"Main Street, Agios Prokopios, 84300, Greece",9.7Exceptional 162 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Free parking', 'Airport shuttle', 'Room service', 'Free WiFi', 'Family rooms', 'Bar', 'Breakfast']","<span class=""bui-u-sr-only"">
Original price
MXN 32,590
Current price
MXN 29,983
</span>",,['Pets\n\n\nPets are not allowed.'],2
Keti Kapri,"Plaka Naxou, Plaka, 84300, Greece",8.6Excellent 93 reviews,"['Non-smoking rooms', 'Free parking', 'Airport shuttle (free)', 'Room service', 'Restaurant', 'Beachfront', 'Free WiFi', 'Family rooms', 'Tea/Coffee Maker in All Rooms']","<span class=""bui-u-sr-only"">
Price
$1,158
</span>",215 feet²,['Pets\n\n\nPets are not allowed.'],
Lygdamis Hotel,"Chora, Naxos Chora, 84300, Greece",8.4Very Good 314 reviews,"['Non-smoking rooms', 'Airport shuttle', 'Free WiFi', 'Family rooms']","<span class=""bui-u-sr-only"">
Original price
$1,384
Current price
$1,176
</span>",269 feet²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Quiet hours\n\n\nGuests need be quiet between 11:00 PM and 7:00 AM.', 'Pets\n\n\nPets are not allowed.']",
